ESS,RT,param_value
NaN,NaN,0.5
NaN,NaN,0.6
NaN,NaN,0.7
2,109.861228866811,0.8
2.1,107.421720658339,0.9
2.3,102.873131748053,1
2.4,100.745151027113,1.1
2.6,96.7430156434364,1.2
2.8,93.0376170357503,1.3
3,89.5879734614028,1.4
3.1,87.9484823202532,1.5
3.3,84.8224644711865,1.6
3.5,81.8804394700398,1.7
3.7,79.1019469122993,1.8
3.9,76.4697602380282,1.9
4.1,73.9692392092951,2
4.5,69.3147180559945,2.1
