ESS,RT,param_value
3.85,77.1149304798236,0.0001
3.65,79.7822295150882,0.00035
3.4,83.3298163137025,0.0006
3.25,85.5858380777259,0.00085
3.05,88.7615083638422,0.0011
2.95,90.4283293772218,0.00135
2.8,93.0376170357503,0.0016
2.65,95.7906058949017,0.00185
2.55,97.7139199362915,0.0021
NaN,NaN,0.00235
0,0,0
0,0,0
