ESS,RT,param_value
1.07,141.135655471117,0.0001
1.06,141.605142488609,0.0002
1.05,142.079079686337,0.0003
1.04,142.557552237144,0.0004
1.03,143.040647782731,0.0005
1.02,143.528456529999,0.0006
1.01,144.02107135215,0.0007
1,144.518587894808,0.0008
0.99,145.021104687483,0.0009
0.99,145.021104687483,0.001
0.98,145.528723260684,0.0011
0.97,146.041548269044,0.0012
0.97,146.041548269044,0.0013
NaN,NaN,0.0014
NaN,NaN,0.0015
NaN,NaN,0.0016
NaN,NaN,0.0017
NaN,NaN,0.0018
NaN,NaN,0.0019
NaN,NaN,0.002
