ESS,RT,param_value
10,29.3893332451059,0.0001
9.25,33.2874103185915,0.0011
6,54.9306144334055,0.0021
4.5,69.3147180559945,0.0031
3.75,78.4307958956923,0.0041
3,89.5879734614028,0.0051
2.75,93.9385423108842,0.0061
2.5,98.7040513011005,0.0071
2.25,103.972077083992,0.0081
2,109.861228866811,0.0091
2,109.861228866811,0.0101
1.75,116.537798498037,0.0111
1.75,116.537798498037,0.0121
NaN,NaN,0.0131
NaN,NaN,0.0141
NaN,NaN,0.0151
NaN,NaN,0.0161
NaN,NaN,0.0171
NaN,NaN,0.0181
NaN,NaN,0.0191
